order,Sentence,hypo
2,It turns out Crumpet Manor had left Lily into an intense state of relaxation.,0
5,I was mortally sorry.,1
6,Dad became very angry when he saw the dent in his car.,0
17,"He that drinks beer, often thinks of beer.",0
27,"When I was young, my family was my universe.",1
37,"Social security, health, welfare and education systems are being held to a rigid standard.",0
51,Not too far away is a large chicken farm business.,0
57,Taking my eyes off her is absurd.,1
59,"And there, before you, is barbeque perfection.",1
64,Your pride is a mortal sin.,1
76,Get a deep knowledge of that world which is man.,1
77,He is a good faithful man who goes to church.,0
81,The king can do no wrong.,1
89,It is idle to swallow big problems and choke on small ones.,0
93,"This book is a masterpiece, it is priceless!",1
102,What is this incomprehensible thing?,0
103,His hand is very cold.,0
108,I'll be clear: I don't like him.,0
111,Imagination leads to the truth.,0
113,Grandpa is older than dirt.,1
122,Get a deep knowledge of that complex being which is man.,0
123,I'm so thirsty that I would drink a large amount of water.,0
127,It's all top secret and now everybody's walking on eggshells.,1
134,Books are food for avid readers.,1
160,John usually knows the right thing to say.,0
165,Newspapers only contain bad information.,0
176,He only cares about himself.,0
177,Fools rush in where experienced people would not.,0
185,Haven't seen you for a long time.,0
202,His eyes were pure black.,1
222,I'm living on very little.,0
232,Let's be best friends in perpetuity.,1
243,Shami and Peter are deliriously happy together.,1
243,"When the last light set, it was like the whole world stopped.",1
247,The Eagle soars high in the sky.,0
249,"You won't beat this taste, it is amazing.",0
250,It was unpleasant seeing her in those cheap shapeless clothes.,1
250,He hiccuped for a long time.,0
255,Stop bothering him: you're inviting trouble.,0
260,Living with apprehensive parents is being trapped in a tower.,1
269,Have you seen the feverish activity in grandma's kitchen?,1
282,And soon I'll be very famous.,0
289,"As a matter of fact, I'm all enthusiastic about it.",0
298,His version of the facts is infinitely more convincing.,1
299,She was worn to a shadow after months of nursing her sick husband.,1
300,Your speech evokes many sympathies.,0
307,He's leaping up and on the bed with such force he'll be catapulted through the roof.,1
308,This room is a mess. It looks like it was hit by a tornado!,1
315,This is a very strong friendship.,0
324,That girl's eyes are bright.,0
326,For dinner he would eat a silo full of grain.,1
334,The old man is a dinosaur.,1
339,No one follows the rules in this office. There is no discipline.,0
344,"I can't breathe, there is a lot of dust here.",0
348,"You are very cute, darling!",0
355,They will be very envious.,0
359,She's a ruler in our house.,0
371,Completing the puzzle took me decades.,1
375,The work of the farm seemed to rest entirely on this horse's mighty shoulders.,1
376,Love makes you ignore bad things.,0
388,He changed his mind in the blink of an eye.,1
390,The meal I prepared is rich in calories!,0
399,"Precious, self-contained, and solitary as an oyster.",1
400,He lost all his money in the stock market.,0
404,His shout was very loud.,0
416,I can make the best pesto in the world.,1
418,She'll get furious when she finds out that her brother left.,0
430,She can have any boy that she wants.,1
433,"As a matter of fact, I'm all steamed up about it.",1
435,It is intolerable to live without my phone.,1
440,I've found my Atlantis not far from home.,1
447,He is just building castles in the air if he does not take any action.,1
